Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos,Prediction_plot
2024-09-24 06:02:00+00:00,146.43,146.43,146.35,146.36,81272,499,1,146.35049999999998,1
2024-09-24 06:03:00+00:00,146.36,146.37,146.21,146.21,120450,565,1,146.2105,1
2024-09-24 06:04:00+00:00,146.21,146.24,146.18,146.23,69131,292,0,146.1805,1
2024-09-24 06:05:00+00:00,146.23,146.25,146.18,146.2,98082,332,3,146.1805,1
2024-09-24 06:06:00+00:00,146.2,146.26,146.19,146.26,60494,379,2,146.1905,1
2024-09-24 06:07:00+00:00,146.27,146.3,146.26,146.28,84340,244,1,146.26049999999998,1
2024-09-24 06:08:00+00:00,146.28,146.36,146.27,146.36,147300,438,0,146.2705,1
2024-09-24 06:09:00+00:00,146.36,146.4,146.16,146.18,163927,740,0,146.16049999999998,1
2024-09-24 06:10:00+00:00,146.18,146.18,146.08,146.13,59358,483,4,146.0805,1
2024-09-24 06:11:00+00:00,146.12,146.21,146.12,146.18,65843,453,0,146.1205,1
2024-09-24 06:12:00+00:00,146.18,146.29,146.17,146.22,100823,505,1,146.17049999999998,1
2024-09-24 06:13:00+00:00,146.22,146.24,146.19,146.24,44070,174,1,146.1905,1
2024-09-24 06:14:00+00:00,146.23,146.31,146.23,146.31,132149,333,0,146.23049999999998,1
2024-09-24 06:15:00+00:00,146.31,146.33,146.26,146.26,111319,550,5,146.26049999999998,1
2024-09-24 06:16:00+00:00,146.26,146.34,146.22,146.3,86854,638,4,146.2205,1
2024-09-24 06:17:00+00:00,146.3,146.4,146.29,146.4,201785,553,3,146.29049999999998,1
2024-09-24 06:18:00+00:00,146.41,146.49,146.41,146.48,215338,306,2,146.41049999999998,1
2024-09-24 06:19:00+00:00,146.48,146.55,146.47,146.5,174820,642,1,146.4705,1
2024-09-24 06:20:00+00:00,146.51,146.64,146.51,146.62,170711,633,0,146.51049999999998,1
2024-09-24 06:21:00+00:00,146.62,146.62,146.43,146.61,568609,765,1,146.4305,1
2024-09-24 06:22:00+00:00,146.62,146.73,146.59,146.63,259767,933,0,146.5905,1
2024-09-24 06:23:00+00:00,146.63,146.63,146.24,146.29,459328,973,0,146.2405,1
2024-09-24 06:24:00+00:00,146.3,146.34,146.23,146.24,116822,458,0,146.23049999999998,1
2024-09-24 06:25:00+00:00,146.23,146.27,146.14,146.17,199181,500,1,146.14049999999997,1
2024-09-24 06:26:00+00:00,146.17,146.26,146.17,146.21,111930,389,0,146.17049999999998,1
2024-09-24 06:27:00+00:00,146.2,146.27,146.15,146.18,230564,492,0,146.1505,1
2024-09-24 06:28:00+00:00,146.18,146.19,146.06,146.1,99745,560,0,146.0605,1
2024-09-24 06:29:00+00:00,146.1,146.1,146.07,146.08,25552,221,0,146.07049999999998,1
2024-09-24 06:30:00+00:00,146.08,146.17,146.0,146.02,405828,962,3,146.0005,1
2024-09-24 06:31:00+00:00,146.02,146.08,146.02,146.03,94395,301,2,146.0205,1
2024-09-24 06:32:00+00:00,146.03,146.09,146.02,146.07,120636,232,1,146.0205,1
2024-09-24 06:33:00+00:00,146.07,146.15,146.06,146.1,354797,666,0,146.0605,1
2024-09-24 06:34:00+00:00,146.09,146.1,145.96,145.96,187776,339,0,145.9605,1
2024-09-24 06:35:00+00:00,145.97,145.97,145.77,145.85,443686,870,0,145.7705,1
2024-09-24 06:36:00+00:00,145.85,145.89,145.77,145.8,126815,416,1,145.7705,1
2024-09-24 06:37:00+00:00,145.8,145.92,145.8,145.88,177072,509,0,145.8005,1
2024-09-24 06:38:00+00:00,145.89,145.9,145.82,145.82,96749,353,4,145.82049999999998,1
2024-09-24 06:39:00+00:00,145.83,145.89,145.82,145.89,58331,178,3,145.82049999999998,1
2024-09-24 06:40:00+00:00,145.89,146.06,145.88,146.05,76263,433,2,145.88049999999998,1
2024-09-24 06:41:00+00:00,146.06,146.42,146.05,146.37,983495,1503,1,146.0505,1
2024-09-24 06:42:00+00:00,146.38,146.48,146.35,146.37,390805,835,0,146.35049999999998,1
2024-09-24 06:43:00+00:00,146.36,146.37,146.18,146.29,198365,701,1,146.1805,1
2024-09-24 06:44:00+00:00,146.29,146.38,146.29,146.33,312438,447,0,146.29049999999998,1
2024-09-24 06:45:00+00:00,146.34,146.34,146.15,146.18,217196,663,3,146.1505,1
2024-09-24 06:46:00+00:00,146.18,146.47,146.18,146.4,440222,662,2,146.1805,1
2024-09-24 06:47:00+00:00,146.39,146.45,146.36,146.43,142073,422,1,146.3605,1
2024-09-24 06:48:00+00:00,146.44,146.48,146.4,146.44,116718,393,0,146.4005,1
2024-09-24 06:49:00+00:00,146.43,146.44,146.38,146.38,203674,294,1,146.38049999999998,1
2024-09-24 06:50:00+00:00,146.38,146.48,146.36,146.48,174018,333,0,146.3605,1
2024-09-24 06:51:00+00:00,146.48,146.48,146.31,146.31,86033,504,0,146.3105,1
2024-09-24 06:52:00+00:00,146.31,146.33,146.25,146.25,86203,370,1,146.2505,1
2024-09-24 06:53:00+00:00,146.26,146.33,146.26,146.28,34027,334,0,146.26049999999998,1
2024-09-24 06:54:00+00:00,146.27,146.3,146.2,146.2,96546,465,2,146.20049999999998,1
2024-09-24 06:55:00+00:00,146.21,146.33,146.2,146.31,132485,501,1,146.20049999999998,1
2024-09-24 06:56:00+00:00,146.31,146.38,146.3,146.33,62352,471,0,146.3005,1
2024-09-24 06:57:00+00:00,146.33,146.33,146.29,146.29,28984,239,3,146.29049999999998,1
2024-09-24 06:58:00+00:00,146.29,146.3,146.22,146.28,83031,390,0,146.2205,1
2024-09-24 06:59:00+00:00,146.28,146.28,146.22,146.26,78724,280,1,146.2205,1
2024-09-24 07:00:00+00:00,146.26,146.41,146.26,146.38,148757,670,0,146.26049999999998,1
2024-09-24 07:01:00+00:00,146.37,146.37,146.2,146.23,378383,680,0,146.20049999999998,1
2024-09-24 07:02:00+00:00,146.22,146.32,146.19,146.3,99975,540,3,146.1905,1
2024-09-24 07:03:00+00:00,146.3,146.37,146.26,146.36,95064,342,2,146.26049999999998,1
2024-09-24 07:04:00+00:00,146.37,146.44,146.3,146.43,103282,506,0,146.3005,1
2024-09-24 07:05:00+00:00,146.43,146.52,146.4,146.51,89228,543,0,146.4005,1
